书名,类型,作家,时间
《月亮与六便士》,文学,毛姆,大一
《云边有座小卖部》,文学,张嘉佳,大一
《夜晚的潜水艇》,文学,陈春成,大一
《天堂旅行家》,文学,张嘉佳,大一
《笑场》,文学,李诞,大一
《追风筝的人》,文学,哈立德·侯赛尼,大一
《中国人的精神》,文学,辜鸿铭,大一
《千只鹤》,文学,川端康成,大一
《一只特立独行的猪》,文学,王小波,大一
《黄金时代》,文学,王小波,大一
《蛤蟆先生去看心理医生》,心理,罗伯特·戴博德,大二
《圆圈正义》,法律,罗翔,大二
《亲密关系》,心理,罗兰·米勒,大二
《爱你就像爱生命》,文学,王小波,大二
《沉默的大多数》,文学,王小波,大二
《兄弟》,文学,余华,大二
《被讨厌的勇气》,心理,岸见一郎,大二
《顿感力》,心理,渡边淳一,大二
《刀锋》,文学,毛姆,大二
《瓦尔登湖》,文学,卢梭,大二
《绿毛水怪》,文学,王小波,大二
《万事有心，人间有味》,文学,汪曾祺,大二
《秋圆》,文学,杨本芬,22.12.9
《重走》,历史,杨潇,22.12.24
《浪潮之巅》,科技,吴军,23.1.8
《挪威森林》,文学,村上春树,23.1.11
《刻意练习》,管理,埃里克森,23.1.15
《文成》,文学,余华,23.1.22
《法治的细节》,法律,罗翔,23.2.5
《浮生六记》,文学,沈复,23.2.19
《枪炮、细菌与钢铁》,文学,贾德·戴蒙,23.3.21
《晚熟的人》,文学,莫言,23.4.3
《生死疲劳》,文学,莫言,23.4.28
《宇宙》,科技,,23.5.6
《霍乱时期的爱情》,文学,马尔克斯,23.7.18
《情人》,文学,玛格丽特·杜拉斯,23.10.18
《小米创业思考》,科技,雷军,24.3.19
《现代打工人如何获得幸福》,心理,,24.4.17
《金钱心理学》,金融,霍华德,24.4.28
《深度工作》,管理,卡尔·纽波特,24.5.10
《不能承受的生命之轻》,文学,米兰·昆德拉,24.6.7
《性心理学》,心理,霭理士,24.8.11